,name,religion,age,continent,gender,occupation,country,race,physics
0,max_iou,0.6868729602016829,0.7603200591994731,0.7839660163034883,0.7548699570968435,0.7735408561435213,0.766966817643186,0.750263084065228,0.7856974376972061
1,min_iou,0.4968241282321129,0.7160003200100853,0.7548674458414036,0.7133513717055763,0.7162733847319287,0.7238407713941463,0.7259855217481181,0.772207728910088
2,SNSR_iou,0.19004883196956995,0.04431973918938781,0.02909857046208464,0.04151858539126718,0.05726747141159261,0.04312604624903971,0.02427756231710987,0.013489708787118082
3,SNSV_iou,0.0769762027091117,0.018612865210397185,0.012585627522521684,0.01652601137903973,0.020847372881263784,0.013926233637158182,0.009843578660411757,0.006744854393559041
4,max_serp_ms,0.22511076923076923,0.23588811188811187,0.24456615384615385,0.23898461538461538,0.24075692307692306,0.24060461538461536,0.23508153846153845,0.2451892307692308
5,min_serp_ms,0.16435692307692307,0.22775291375291373,0.2374584615384615,0.22684615384615384,0.2321215384615385,0.23324923076923076,0.23042923076923075,0.24086
6,SNSR_serp_ms,0.06075384615384616,0.00813519813519814,0.007107692307692343,0.012138461538461542,0.008635384615384573,0.007355384615384597,0.004652307692307706,0.004329230769230807
7,SNSV_serp_ms,0.024867824569442504,0.003468005936687827,0.0032088487943718134,0.004448839802882993,0.0036021114912320818,0.0025960732053293537,0.0018615529242922064,0.0021646153846154037
8,max_prag,0.7737,0.8338451178451178,0.8678266666666667,0.8341333333333333,0.8499844444444444,0.8486799999999999,0.83298,0.870020606060606
9,min_prag,0.5556466666666666,0.7962424242424242,0.8326733333333334,0.79196,0.8139666666666667,0.8130866666666667,0.8016066666666667,0.8520666666666666
10,SNSR_prag,0.21805333333333343,0.03760269360269364,0.03515333333333337,0.042173333333333285,0.036017777777777704,0.035593333333333144,0.031373333333333364,0.01795393939393941
11,SNSV_prag,0.08678998766628483,0.016674913399965127,0.015562708514146793,0.015007688965965845,0.014683591715891972,0.012038780889321088,0.01180782920589368,0.008976969696969705
