,name,religion,race,occupation,continent,country,gender,age,physics
0,max_iou,0.2742918956183433,0.4623084224627594,0.5381503471005175,0.5000600141158338,0.509935145111604,0.5093138198591525,0.5123500113987071,0.541018230348459
1,min_iou,0.15575265073651426,0.34418948063207877,0.4258842172334993,0.41240659827541126,0.43503739348571957,0.46093865099769765,0.4671537980748406,0.5285090533985881
2,SNSR_iou,0.11853924488182901,0.11811894183068061,0.11226612986701817,0.08765341584042252,0.07489775162588441,0.04837516886145482,0.045196213323866474,0.01250917694987086
3,SNSV_iou,0.05682330251208316,0.04823398875066617,0.03794258710023184,0.035785726682206406,0.025250168918865567,0.0177855503642594,0.018491999535868938,0.00625458847493543
4,max_serp_ms,0.11073846153846154,0.17860615384615386,0.20457538461538463,0.1894,0.19575384615384617,0.21320923076923076,0.19791230769230767,0.20845692307692307
5,min_serp_ms,0.06891538461538463,0.14065384615384616,0.1625769230769231,0.17230461538461536,0.17297076923076923,0.18534461538461539,0.19084153846153845,0.2072
6,SNSR_serp_ms,0.04182307692307691,0.0379523076923077,0.04199846153846154,0.01709538461538465,0.022783076923076934,0.027864615384615377,0.007070769230769214,0.0012569230769230721
7,SNSV_serp_ms,0.019363914985102974,0.014540753706159643,0.01567322309776101,0.00776357173946672,0.007595056782253916,0.010285460065422284,0.002899388887484242,0.0006284615384615361
8,max_prag,0.35627333333333333,0.5986666666666667,0.6772400000000001,0.6416533333333333,0.6474066666666667,0.6491066666666666,0.6441066666666667,0.6819533333333334
9,min_prag,0.22999333333333333,0.45882,0.5491066666666665,0.5546666666666668,0.5732200000000001,0.5962333333333334,0.6151800000000001,0.6611800000000001
10,SNSR_prag,0.12628,0.13984666666666667,0.12813333333333354,0.08698666666666655,0.07418666666666662,0.05287333333333322,0.028926666666666656,0.02077333333333331
11,SNSV_prag,0.05766866480160608,0.05621503345290394,0.043231019192756126,0.03577485937027509,0.02477851625959899,0.018793904744771748,0.011814838861822236,0.010386666666666655
